ID,Requirements
156,"[0, 0]"
156,"[0, 0]"
156,"[0, 0]"
174,"[0, 0]"
174,"[0, 0]"
269,"[0, 0]"
269,"[0, 0]"
272,"[0, 0]"
272,"[0, 0]"
272,"[0, 0]"
272,"[0, 0]"
273,"[0, 0]"
273,"[0, 0]"
273,"[0, 0]"
273,"[0, 0]"
305,"[0, 0]"
305,"[0, 0]"
305,"[0, 0]"
305,"[0, 0]"
396,"[0, 0]"
396,"[0, 0]"
396,"[0, 0]"
396,"[0, 0]"
406,"[0, 0]"
406,"[0, 0]"
406,"[0, 0]"
406,"[0, 0]"
457,"[0, 0]"
457,"[0, 0]"
457,"[0, 0]"
457,"[0, 0]"
464,"[0, 0]"
464,"[0, 0]"
464,"[0, 0]"
464,"[0, 0]"
529,"[0, 0]"
529,"[0, 0]"
529,"[0, 0]"
529,"[0, 0]"
554,"[0, 0]"
554,"[0, 0]"
554,"[0, 0]"
554,"[0, 0]"
583,"[0, 0]"
583,"[0, 0]"
583,"[0, 0]"
583,"[0, 0]"
664,"[1, 0]"
664,"[1, 0]"
664,"[1, 0]"
664,"[1, 0]"
679,"[0, 0]"
679,"[0, 0]"
679,"[0, 0]"
679,"[0, 0]"
822,"[0, 0]"
822,"[0, 0]"
822,"[0, 0]"
827,"[0, 0]"
827,"[0, 0]"
827,"[0, 0]"
827,"[0, 0]"
831,"[0, 0]"
831,"[0, 0]"
831,"[0, 0]"
850,"[0, 0]"
850,"[0, 0]"
850,"[0, 0]"
850,"[0, 0]"
970,"[0, 0]"
970,"[0, 0]"
970,"[0, 0]"
978,"[0, 0]"
978,"[0, 0]"
978,"[0, 0]"
1015,"[0, 0]"
1015,"[0, 0]"
1015,"[0, 0]"
1062,"[1, 0]"
1062,"[1, 0]"
1062,"[1, 0]"
1062,"[1, 0]"
1106,"[0, 0]"
1106,"[0, 0]"
1106,"[0, 0]"
1132,"[0, 1]"
1132,"[0, 1]"
1132,"[0, 1]"
1138,"[0, 0]"
1138,"[0, 0]"
1138,"[0, 0]"
1184,"[0, 0]"
1184,"[0, 0]"
1184,"[0, 0]"
1201,"[0, 0]"
1201,"[0, 0]"
1201,"[0, 0]"
1205,"[0, 0]"
1205,"[0, 0]"
1205,"[0, 0]"
1208,"[0, 0]"
1208,"[0, 0]"
1208,"[0, 0]"
1222,"[0, 0]"
1222,"[0, 0]"
1222,"[0, 0]"
1225,"[0, 0]"
1225,"[0, 0]"
1225,"[0, 0]"
1229,"[0, 0]"
1229,"[0, 0]"
1229,"[0, 0]"
1284,"[0, 0]"
1284,"[0, 0]"
1284,"[0, 0]"
1298,"[1, 0]"
1298,"[1, 0]"
1298,"[1, 0]"
1315,"[0, 0]"
1315,"[0, 0]"
1315,"[0, 0]"
1327,"[0, 0]"
1327,"[0, 0]"
1327,"[0, 0]"
1330,"[0, 0]"
1330,"[0, 0]"
1330,"[0, 0]"
1336,"[0, 0]"
1336,"[0, 0]"
1336,"[0, 0]"
1337,"[0, 0]"
1337,"[0, 0]"
1337,"[0, 0]"
1349,"[0, 0]"
1349,"[0, 0]"
1349,"[0, 0]"
1366,"[0, 0]"
1366,"[0, 0]"
1366,"[0, 0]"
1369,"[0, 0]"
1369,"[0, 0]"
1369,"[0, 0]"
1371,"[0, 0]"
1371,"[0, 0]"
1371,"[0, 0]"
1387,"[0, 0]"
1388,"[0, 0]"
1401,"[0, 0]"
1403,"[0, 0]"
1409,"[0, 0]"
1419,"[0, 0]"
1428,"[0, 0]"
1429,"[0, 0]"
1452,"[0, 0]"
1453,"[0, 0]"
1455,"[1, 0]"
1463,"[0, 0]"
1464,"[0, 0]"
1467,"[0, 0]"
1474,"[0, 0]"
1477,"[1, 0]"
1543,"[1, 1]"
1557,"[0, 0]"
1569,"[0, 0]"
1584,"[0, 0]"
1585,"[0, 0]"
1590,"[0, 0]"
1593,"[0, 0]"
1594,"[0, 0]"
1607,"[0, 0]"
1612,"[0, 0]"
1615,"[1, 0]"
1619,"[0, 0]"
1632,"[0, 0]"
1642,"[0, 1]"
1645,"[1, 0]"
1648,"[0, 0]"
1649,"[0, 0]"
1654,"[0, 0]"
1660,"[1, 0]"
1661,"[1, 0]"
1663,"[0, 0]"
1664,"[0, 0]"
1669,"[0, 0]"
1675,"[0, 0]"
1676,"[0, 0]"
1678,"[0, 0]"
1679,"[0, 0]"
1680,"[1, 0]"
1682,"[1, 0]"
1687,"[0, 0]"
1690,"[0, 0]"
1691,"[0, 0]"
1694,"[0, 0]"
1695,"[0, 0]"
1704,"[0, 0]"
1709,"[0, 0]"
1712,"[0, 0]"
1714,"[0, 0]"
1715,"[0, 0]"
