ID,ModeOfTransport,Attributes,EarliestStartTime,LatestEndTime,StartLocation,EndLocation,RequiresBreak
1264,pedestrian,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home,True
979,car,"[1, 1]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ,True
36,car,"[0, 0]",2025-03-05T10:00:00+01:00,2025-03-05T17:00:00+01:00,HQ,HQ,True
33,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,HQ,HQ,True
1335,pedestrian,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:15:00+01:00,Home,Home,True
949,car,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,HQ,HQ,True
1376,bicycle,"[0, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home,True
1183,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home,True
1167,pedestrian,"[0, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home,True
1322,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:45:00+01:00,Home,Home,True
438,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ,True
284,car,"[0, 0]",2025-03-05T13:00:00+01:00,2025-03-05T14:00:00+01:00,HQ,HQ,False
1108,car,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,HQ,HQ,True
1173,car,"[0, 0]",2025-03-05T08:45:00+01:00,2025-03-05T15:30:00+01:00,HQ,HQ,True
1355,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home,True
355,bicycle,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:30:00+01:00,Home,Home,True
113,car,"[0, 1]",2025-03-05T09:00:00+01:00,2025-03-05T14:00:00+01:00,HQ,HQ,False
1292,pedestrian,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,Home,Home,True
1343,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home,True
1148,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ,True
958,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:30:00+01:00,HQ,HQ,True
1284,bicycle,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home,True
756,car,"[1, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:45:00+01:00,HQ,HQ,True
1364,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ,True
1180,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:30:00+01:00,Home,Home,True
1146,car,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T15:45:00+01:00,HQ,HQ,True
833,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ,True
1358,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T14:45:00+01:00,Home,Home,True
1243,car,"[1, 0]",2025-03-05T16:00:00+01:00,2025-03-05T22:30:00+01:00,HQ,HQ,True
905,car,"[0, 0]",2025-03-05T07:45:00+01:00,2025-03-05T15:15:00+01:00,HQ,HQ,True
1306,pedestrian,"[0, 0]",2025-03-05T07:45:00+01:00,2025-03-05T15:00:00+01:00,Home,Home,True
1163,pedestrian,"[0, 0]",2025-03-05T07:30:00+01:00,2025-03-05T16:00:00+01:00,Home,Home,True
