ID,ModeOfTransport,IsMan,IsAllergic
1264,pedestrian,True,False
979,car,True,True
36,car,False,False
33,car,False,False
1335,pedestrian,True,False
949,car,True,False
1376,bicycle,False,False
1183,pedestrian,False,False
1167,pedestrian,False,False
1322,pedestrian,False,False
438,car,False,False
284,car,False,False
1108,car,True,False
1173,car,False,False
1355,pedestrian,False,False
355,bicycle,False,False
113,car,False,True
1292,pedestrian,True,False
1343,pedestrian,False,False
1148,car,True,False
958,car,False,False
1284,bicycle,False,False
756,car,True,False
1364,car,True,False
1180,pedestrian,False,False
1146,car,False,False
833,car,True,False
1358,pedestrian,False,False
1243,car,True,False
905,car,False,False
1306,pedestrian,False,False
1163,pedestrian,False,False
